gene_name,gene_id,is_Secreted,State_Change_Region,CellType_Specific_Region,Spearman_Rho,P_Value,FDR,log2FoldChange,DEG_padj,Promoter_Meth_Healthy,Promoter_Meth_Altered,Delta_Promoter_Meth,DMR_Status,DMR_Meth_Healthy,DMR_Meth_Altered
ADCY4,ENSG00000129467.14,False,None,None,0.0766236786170995,0.5223442312568469,0.7378032066128822,-0.0485832101446547,0.870583201501668,0.3388185654008439,0.3862619808306709,0.04744341542982705,None,,
RIPK3,ENSG00000129465.16,False,None,None,0.1651422972168146,0.1656573198777062,0.4139198653778513,0.0079400677492891,,0.6091353996737358,0.6547674964772193,0.04563209680348357,None,,
NFATC4,ENSG00000100968.14,False,None,None,0.1736468932394913,0.1446303276677782,0.3865702326475352,-1.16196741657977,0.0163765879593716,0.2153957354535598,0.2418230563002681,0.02642732084670829,None,,
NYNRIN,ENSG00000205978.6,False,None,None,0.1614854969673184,0.1753596272658366,0.4257768651852062,-0.456972448768528,0.155813369673565,0.2552732502396932,0.2117314930991217,-0.04354175714057151,PT_Altered_Hypo,0.5080645161290323,0.2937062937062937
CBLN3,ENSG00000139899.11,True,None,None,0.1516157082100672,0.2036039780703036,0.4586280730939526,-1.0336905985107,0.0279842371526506,0.33359830418653946,0.29286514755323123,-0.04073315663330823,None,,
KHNYN,ENSG00000100441.10,False,None,None,0.1711903693940675,0.1504868936375836,0.3942048630887507,-0.135410830219966,0.638275055682406,0.8826641767818239,0.8643667296786389,-0.018297447103184927,None,,
SDR39U1,ENSG00000100445.18,False,None,None,0.0514153308382559,0.667979980125462,0.8318453426476585,0.0858155698829149,0.796292773113889,0.0252963284186181,0.018930222320052828,-0.00636610609856527,None,,
CMA1,ENSG00000092009.10,True,None,None,0.0306660023244292,0.7981703449827509,0.905473611287272,-0.0106540137969011,,0.7290419161676647,0.701271186440678,-0.027770729726986687,None,,
CTSG,ENSG00000100448.4,True,None,None,0.3366589246912519,0.003833236950901,0.0810251998886656,0.033890006920759,,0.8091822094691535,0.7956989247311828,-0.01348328473797078,None,,
GZMH,ENSG00000100450.13,True,None,None,0.242723507867506,0.0399405836138555,0.2080593906253831,-0.0030172311163481,,0.8628485305199699,0.8051075268817204,-0.05774100363824952,None,,
GZMB,ENSG00000100453.14,True,None,None,0.1177014119725477,0.3247820752931052,0.5820535653234133,-0.122010141856097,,0.7702020202020202,0.7625,-0.0077020202020202655,None,,
STXBP6,ENSG00000168952.16,False,None,None,0.3500772860276562,0.0025737987855383,0.070927564456053,-0.270555386338791,0.398193963160217,0.16944547363220946,0.1720058245358573,0.00256035090364784,None,,
NOVA1,ENSG00000139910.20,False,None,None,0.2906024649771943,0.0132721087871972,0.1287973430899651,-0.263454159924908,0.364731723396078,0.005152462201199426,0.0063474541189457705,0.0011949919177463445,None,,
FOXG1,ENSG00000176165.13,False,None,None,,,,,,0.1234489341393573,0.13820731096644967,0.01475837682709237,None,,
PRKD1,ENSG00000184304.17,True,None,None,0.3543219483464478,0.0022609166722757,0.0678797253579492,-0.605564354003199,0.0224668589436702,0.8473451327433629,0.8517241379310345,0.004379005187671647,None,,
G2E3,ENSG00000092140.16,False,None,None,0.1573167649279781,0.1869187157830221,0.4395785993646748,-0.206343432516889,0.445986506887347,0.12644856937749974,0.12931175412784043,0.002863184750340697,None,,
SCFD1,ENSG00000092108.22,False,None,None,0.240839167052995,0.041557390903264,0.2121192668606808,-0.224329311848607,0.189684991942973,0.04532304725168756,0.05437392795883362,0.009050880707146061,None,,
COCH,ENSG00000100473.18,True,None,None,-0.0356763838695234,0.7660689575539608,0.8886005463826336,0.0719742860364001,0.845498658667432,0.1694095983427322,0.19502553121396804,0.02561593287123584,None,,
STRN3,ENSG00000196792.12,False,None,None,0.0906573987075771,0.4488390218292544,0.6853766668203193,-0.0536258143939682,0.867374649955742,0.004576914489841482,0.00536620739666425,0.0007892929068227675,None,,
AP4S1,ENSG00000100478.16,False,None,None,-0.1501652521496249,0.2080132425223826,0.4636219561532396,-0.0696598688476304,0.810436252036398,0.00639819345126082,0.007470651013874066,0.0010724575626132457,None,,
HECTD1,ENSG00000092148.14,False,None,None,-0.0376734426037499,0.7533792953927874,0.8814093615434507,0.072676988752619,0.675283036893236,0.07986648212977286,0.07306073361395068,-0.006805748515822177,None,,
